year,id,player_name,pos,draft_projection,athleticism_score,size_score,production_score,ngs_score
2008,32195741-4c43-5985-434e-bcb43e586977,Cody Wallace,OL,,,,,
2008,32194252-4530-7886-b014-d725037db1cc,Colt Brennan,QB,,,,,80.5614858271518
2008,3219434c-4123-5389-b9cb-982f236b7d0d,Corey Clark,OT,,,,,
2008,32194c59-4e07-4058-2592-454327afad52,Corey Lynch,FS,,,,,
2008,3219424f-5907-8848-96c9-3737f4aec12d,Cory Boyd,RB,,,,,66.9633537922866
2008,32195354-4527-8126-b631-d101592d23e6,Craig Steltz,S,,,,,
2008,32195354-4560-1672-5cb3-e3a56965c2b0,Craig Stevens,TE,,,,,
2008,32194741-5420-6680-e1cd-97a533eb81ab,Curtis Gatewood,DE,,,,,
2008,32194a4f-4814-2067-f4b1-7045e6b220a5,Curtis Johnson,DE,,,,,
2008,32194c4f-4626-7017-babd-0ca99e8b26e4,Curtis Lofton,LB,,,,,
2008,32194841-4c27-9675-bf6a-7576f7d41083,D.J. Hall,WR,,,,,67.4883552320788
2008,32195041-5223-4876-c539-a28e0dbb02ea,D.J. Parker,FS,,,,,
2008,3219574f-4c31-1455-1a59-6e705cf68bf1,D.J. Wolfe,CB,,,,,
2008,32194d4f-5215-1490-809d-5c2ba35082dc,DaJuan Morgan,FS,,,,,
2008,3219434f-4e50-8718-4e70-74ab8e652967,Dan Connor,OLB,,,,,
2008,3219414d-4535-9918-e336-c0dd118d7e30,Danny Amendola,WR,,,,,57.6509722257304
2008,32195341-5614-6593-314f-931ad8dbf2dd,Dantrell Savage,RB,,,,,50
2008,32195245-5904-4528-c0c8-c871f2f0ea71,Darius Reynaud,WR,,,,,63.3722152636223
2008,32194a45-4e17-3978-a024-f0336eaa1345,Darnell Jenkins,WR,,,,,50
2008,32195445-5228-5216-fc99-a13fdaa09244,Darnell Terrell,CB,,,,,
2008,3219524f-4230-4977-4149-98170950d51e,Darrell Robertson,DE,,,,,
2008,32195354-5260-7070-c905-d19dee0ce0d5,Darrell Strong,TE,,,,,
2008,32194d43-4608-4974-94bc-0c35707fce14,Darren McFadden,RB,,,,,86.5567569656729
2008,32194841-4c04-2600-b613-dee7a04a9639,David Hale,OT,,,,,
2008,3219524f-4121-3308-f680-8f5c9e085ce4,David Roach,FS,,,,,
2008,3219564f-4247-4619-6a79-657ed5487d9d,David Vobora,OLB,,,,,
2008,32194245-5310-6788-1e8c-432406aa8d2e,Davone Bess,WR,,,,,75.7909093013467
2008,32195452-4902-8314-2fe2-64d66209fead,DeJuan Tribble,CB,,,,,
2008,32195052-4542-4518-998d-b7025594e8e3,DeMario Pressley,DT,,,,,
2008,32194a41-4312-7681-93f9-b06ab3ee3184,DeSean Jackson,WR,,,,,84.4635031230677
2008,32194245-4c26-9922-a70e-733eae37cac4,Demetress Bell,OT,,,,,
2008,32194449-5812-3425-cd3e-50f84be16deb,Dennis Dixon,QB,,,,,76.2273905071989
2008,32194b45-5917-5574-c7d2-6fe43575f563,Dennis Keyes,FS,,,,,
2008,32194649-4e19-7209-3001-8cf74ad3b421,Derek Fine,TE,,,,,
2008,32194841-5277-1312-2886-66cab2beaad2,Derrick Harvey,DE,,,,,
2008,3219434c-4125-9933-a9fc-83c5a10741d5,Devin Clark,OT,,,,,
2008,32195448-4f11-2147-6e3e-ad2d48d30d14,Devin Thomas,WR,,,,,77.9411346032622
2008,32194a41-4313-2195-b9e0-65dee4b3b54b,Dexter Jackson,WR,,,,,63.267652207985
2008,32194241-5204-0782-e9d9-f5318a64676a,Dominique Barber,FS,,,,,
2008,3219524f-4461-6216-d73f-d91b598573de,Dominique Rodgers-Cromartie,CB,,,,,
2008,32195448-4f11-3662-59cf-ebda45dc64e6,Donald Thomas,OG,,,,,
2008,32194156-4542-2211-6539-25d09c01bf90,Donnie Avery,WR,,,,,65.1516431924482
2008,3219534d-4922-5371-afad-56da2969f6fd,Dorian Smith,DE,,,,,
2008,32194252-5934-2136-fcb7-67a1b4125fcd,Dorien Bryant,WR,,,,,69.4762015061043
2008,32194d4f-4f53-3493-9306-ec734211e494,Dre Moore,DT,,,,,
2008,32195241-4470-2174-62ef-3a1ab7b6115e,Drew Radovich,OT,,,,,
2008,32194252-4f40-8217-b6d5-7b42b3df2aa2,Duane Brown,OT,,,,,
2008,32194252-4f12-2997-7710-05f37226c354,Durant Brooks,P,,,,,
2008,32194b45-4c09-1879-4f88-be93e9541988,Dustin Keller,TE,,,,,
2008,32194c4f-5755-6220-bf98-353197ad9914,Dwight Lowery,CB,,,,,
2008,32194245-4e32-7033-b10f-97dee35aad6a,Earl Bennett,WR,,,,,75.9127535161783
2008,3219444f-5505-1723-b16e-978f73292af6,Early Doucet,WR,,,,,50.2683556551195
2008,3219524f-5946-1040-1a1f-5d4455d39423,Eddie Royal,WR,,,,,82.2940173315002
2008,3219594f-5518-6690-dcdc-87910a781e99,Eric Young,OT,,,,,
2008,32194149-4e23-7309-42d4-bd3eb7a73d1f,Erik Ainge,QB,,,,,50
2008,32195741-4c02-8236-2eb3-78ba229f0bc6,Erik Walden,DE,,,,,
2008,32194845-4e06-0724-14f1-bb2c33a9428e,Erin Henderson,OLB,,,,,
